solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg),col162,plx,e_plx
1636148068921376768,Gaia DR3 1944073004732961152,1944073004732961152,439897187,2016,359.6042078737109,0.12301605,51.38888688843412,0.13007978,5.7423323694108275,0.20106766,28.559204,84.67189,82.84682339042875,0.18890342,17.485227134178448,0.20326309,-0.48209757,-0.0444313,-0.3056419,0.13633075,0.117450185,0.09328536,0.06563061,-0.014650056,0.08939816,-0.55605894,554,554,546,8,54.751514,249499.17,1.7414988,6382.6646,95,false,,1.2198571,0.026809098,0.09710937,0.001651481,0.075372845,-0.006340167,0.102685854,63,25,0.34022313,66,66,0,0.4176021,5.375194,24,0,3.0655596,,,,,,,,,false,524,3.779586233459838E7,1087953.6,34.740326,6.7437563,58,312556.35380552756,62214.086,5.023884,11.601221,61,8.829407499742824E7,6390424.0,13.816623,4.8830667,2.3443475,0,28,0,0,0,6.7181544,4.857465,1.8606896,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,114.56121358793969,-10.61906935,26.18623544,45.94187043889447,false,false,0,true,true,false,true,false,false,true,false,1.0202967E-13,5.096331E-13,0.9999993,,,,,,,,,,,,,,,,,,,,,,,R Cas,359.6036178,51.38880917,5.7423,82.847,17.485,-22.94,2000,4.400047715211956E-9,,5.67,1.95
1636148068921376768,Gaia DR3 4234448531043979520,4234448531043979520,600631937,2016,299.40016620478633,0.09709774,-1.886695171,0.06529561,1.9532132203824946,0.113323,17.235806,51.882896,-20.42447889,0.1157384,-47.69355757,0.07575666,0.11026637,-0.23275466,0.08277843,-0.12590557,-0.13720223,-0.20829156,0.40081212,-0.14641863,-0.2862726,0.09536834,332,332,332,0,12.0020895,15939.521,0.84374094,493.89362,31,false,1.1036526,,,,,,,,37,18,0.16194318,42,7,7,0.24307518,115.10194,1,0,1.5031415,,,,,,,,,true,350,8024417.545409181,241366.42,33.245792,8.426333,36,75286.48566240816,9495.342,7.928781,13.1467495,38,1.497173282620713E7,1330621.8,11.251682,6.8097153,1.8751541,0,36,0,0,0,6.337034,4.720416,1.6166182,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,38.91684353087453,-15.56023011,301.1424087549262,18.43049214810792,false,false,0,true,true,false,true,false,false,true,false,1.0202967E-13,5.096331E-13,0.9999993,,,,,,,,,,,,,,,,,,,,,,,RR Aql,299.400257,-1.8864832,1.9532,-20.424,-47.694,11.0,2000,2.85410777953965E-9,,1.58,0.4
1636148068921376768,Gaia DR3 4069737050648231424,4069737050648231424,96258986,2016,272.0168578777035,0.17990139,-22.22406054,0.14045669,0.049597724,0.18706691,0.2651336,1.7587146,1.3986129656816106,0.19935097,-1.066282624,0.14651018,0.056478858,-0.34298182,-0.4406852,0.014134979,-0.28355202,0.11412627,-0.6480316,0.047457244,0.26005575,-0.03271368,205,205,204,1,24.45349,30209.51,1.1903805,1176.2047,95,false,,1.026838,0.035827793,-0.04626776,-0.07046242,0.22202864,-0.008892425,0.01955074,23,13,0.2925489,23,13,14,0.24474508,79.71813,0,0,2.451471,,,,,,,,,false,199,6.649722421440325E7,1618126.6,41.095192,6.130358,23,1663499.5160367847,282328.97,5.892061,9.785986,21,1.352650179768661E8,8302397.5,16.292284,4.419932,2.0591614,0,0,0,0,0,5.366054,3.6556277,1.7104263,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,8.344112999661286,-1.001939535,271.8673994373458,1.2021473912335021,false,false,0,true,true,false,true,false,false,true,false,1.020765E-13,6.1615484E-11,0.99999464,,,,,,,,,,,,,,,,,,,,,,,VX Sgr,272.0168512,-22.22405581,0.0496,1.399,-1.066,3.0,2000,2.130426791462774E-9,,0.64,0.04
1636148068921376768,Gaia DR3 5616197646838713728,5616197646838713728,1402434454,2016,110.7430125,0.23578705,-25.76754408,0.2967916,0.4191798096069297,0.4079143,1.0276173,3.4612825,-2.64526338,0.3087735,2.232276480042646,0.40490437,0.08411969,0.29110128,-0.5243666,-0.02994583,0.121486396,-0.0442657,-0.13476615,-0.2582662,-0.04809785,0.07208439,424,424,424,0,212.7655,307775.56,3.348243,10270.048,31,false,1.2529663,,,,,,,,48,23,0.56482714,49,27,11,0.026080608,177.47697,2,0,14.328784,,,,,,,,,true,422,2.1579785634744618E7,98333.3,219.45554,7.352249,42,5244615.484586124,134815.75,38.9021,8.539258,42,4.369114571524151E7,564356.4,77.417656,5.646912,2.2676666,0,42,0,42,0,2.892346,1.1870089,1.705337,56.12916,0.6820545,1,27,0,18,1058.479,,0.0,776.8558,10.701565,3900,1.5,1.0,111,39.08368,4.462995,27,5.085795,0.013984283,27,,VARIABLE,239.35257545352826,-5.065422186,118.0041408777209,-47.21031677,false,false,0,true,true,false,true,false,false,true,false,1.0232869E-13,5.111267E-13,0.99996966,,,,,,,,,,,,,,,,,,,,,,,VY CMa,110.74302556341206,-25.767554,0.4192,-2.645,2.232,56.13,2000,1.7028023462162247E-9,,0.83,0.08
1636148068921376768,Gaia DR3 2065235853217670656,2065235853217670656,594398217,2016,311.6064065581502,0.2578602,40.116492990465005,0.28974825,0.5279231309205449,0.34797838,1.5171148,5.727645,-1.224498719,0.34393245,-5.595223075,0.36324045,-0.09447297,-0.01894414,0.02108239,-0.06611452,0.043002944,-0.07467506,-0.11338964,-0.158779,-0.093215294,-0.10468819,475,475,475,0,100.845184,722765.7,4.1387773,22932.684,31,false,1.1112854,,,,,,,,53,27,0.5175788,58,22,0,0.007216438,83.45771,0,0,5.703771,,,,,,,,,false,487,654460.9293582927,2695.478,242.79958,11.147657,55,3996.1765938047542,79.97631,49.967003,16.33443,45,1233150.2592525333,12467.652,98.907974,9.520355,1.8903289,0,0,0,0,0,6.8140755,5.1867733,1.6273022,-10.338594,0.64690375,1,20,8,15,136.4345,0.42887232,0.0,819.6438,9.584171,3100,4.5,-0.25,101,,,,8.88516,0.02782055,12,143.78084,VARIABLE,80.79835042472294,-1.920998343,332.1476805,54.947610822138806,false,false,0,true,true,true,true,false,true,true,false,1.0202233E-13,5.0959643E-13,1.0,3440.4414,3428.055,3460.5146,0.0019,-0.1108,0.1432,0.5681,0.4512,0.6838,1673.3096,1389.8438,1987.0027,9.9498,9.7592,9.9927,5.2742,5.1562,5.2991,3.7836,3.7281,3.798,MARCS,NML Cyg,311.6064137,40.11651786,0.5279,-1.224,-5.595,0.0,2000,2.430264756734779E-9,,0.62,0.047
1636148068921376768,Gaia DR3 459101393719884800,459101393719884800,1318753184,2016,35.71545970892247,0.04946629,58.58650423544022,0.05789772,-0.503213577,0.08144344,-6.1786876,0.672371,-0.480408192,0.07160342,-0.470415442,0.07581899,0.058280606,-0.01403093,0.008415342,-0.26848456,-0.0183802,-0.2566847,-0.20126307,0.1192655,0.028733417,-0.10746917,409,409,408,1,22.901917,13714.959,0.70025593,366.0951,31,false,1.1741943,,,,,,,,46,21,0.108761914,49,22,3,0.052228995,14.978975,0,0,1.9059526,,,,,,,,,true,428,1.502791827969081E7,121978.234,123.20164,7.7451196,39,788785.8059810404,29209.246,27.004662,10.596145,46,2.4401854165306658E7,577169.0,42.278526,6.2793384,1.6762561,0,39,0,0,0,4.3168063,2.851025,1.4657812,-35.827652,0.88545966,1,21,0,14,681.4272,6.345183,0.0,683.42944,10.870831,3500,5.0,0.0,440,11.324714,3.694068,21,5.71234,0.05712243,21,,VARIABLE,134.62068403987016,-2.195003422,55.62521771929813,41.450785302083524,false,false,0,true,true,false,true,false,false,true,false,1.02024136E-13,5.0960543E-13,0.9999998,,,,,,,,,,,,,,,,,,,,,,,S Per,35.715463805439995,58.58650633,0.2217,-0.48,-0.47,-39.5,2000,2.5920381281965777E-9,,0.413,0.017
1636148068921376768,Gaia DR3 1858735921574817920,1858735921574817920,615314290,2016,313.7729375704615,0.04909197,30.414399254576445,0.067312256,0.7009965793067053,0.09403324,7.454774,12.391328,-5.435890721,0.06946919,-11.13535326,0.09798005,-0.39996013,0.049947508,-0.052556206,0.20778398,0.13938844,0.22264114,-0.17035063,0.04331855,-0.06553831,-0.5171997,837,837,836,1,67.01219,67342.39,0.99999267,1533.6921,31,false,1.1962174,,,,,,,,95,25,0.1492444,100,67,4,0.6172596,61.873295,2,0,3.0335698,,,,,,,,,true,671,1882578.0553320097,56046.758,33.58942,10.000484,68,23851.88631363135,3590.3135,6.6433992,14.394735,76,3236186.4891107045,257972.31,12.544704,8.472812,1.7316883,0,68,0,6,0,5.9219236,4.394251,1.5276728,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,74.34440683870812,-9.407935041,328.1965668845295,45.41245573533515,false,false,0,true,true,false,true,false,false,true,false,1.02024136E-13,5.0960543E-13,0.9999998,,,,,,,,,,,,,,,,,,,,,,,UX Cyg,313.7729655851899,30.41444875,0.701,-5.436,-11.135,-6.0,2000,1.6302208436359435E-9,,0.54,0.06
1636148068921376768,Gaia DR3 2012859963999694848,2012859963999694848,148438184,2016,356.01363494652674,0.032754876,61.789488374741616,0.032312192,0.3553647520592062,0.04104967,8.656945,4.4769125,-4.003733282,0.045152053,-2.00321408,0.040431466,-0.1894634,-0.051266048,-0.016274303,-0.10283564,0.18301088,-0.122482374,0.13740984,-0.06152372,0.12757787,-0.2471565,356,356,356,0,2.4622734,5584.479,0.39675075,153.43843,31,false,1.1826178,,,,,,,,40,25,0.06709756,46,13,18,0.059082083,132.18797,3,0,1.0933789,,,,,,,,,false,398,3.716919781449375E7,468612.7,79.31752,6.761909,43,2513726.596487862,114923.805,21.872984,9.337748,43,5.242769547006107E7,2167964.0,24.182919,5.4489937,1.4781439,0,0,0,0,0,3.888754,2.5758386,1.3129153,-51.236683,0.415405,1,19,0,16,1059.5298,,0.0,989.8802,4.475075,4000,3.0,0.0,333,21.592636,1.205001,18,4.7107778,0.090822846,19,,VARIABLE,115.05815287705077,-0.047809463,34.19162635,55.24252078533746,false,false,0,true,true,false,true,false,false,true,false,1.02024136E-13,5.0960543E-13,0.9999998,,,,,,,,,,,,,,,,,,,,,,,PZ Cas,356.01367258963995,61.78949727791001,0.3554,-4.004,-2.003,-51.35,2000,1.5177143279853133E-9,,0.356,0.026
1636148068921376768,Gaia DR3 2014593550230928896,2014593550230928896,1520418030,2016,342.4956666904844,0.024235232,60.29906188049638,0.024869505,0.3631641503645945,0.029008731,12.519133,3.5948205,-3.030607765,0.032794096,-1.933429926,0.03144069,-0.090185575,0.005279447,-0.1891896,-0.14591664,0.15405156,-0.19192219,-0.061721817,-0.21432477,0.1254691,-0.19499679,394,394,392,2,1.6060903,2375.572,0.28360802,57.155533,31,false,1.2060245,,,,,,,,45,28,0.049015515,50,17,3,0.023571843,80.76553,0,0,1.057404,,,,,,,,,false,404,9442413.614565797,56652.797,166.67162,8.24966,48,899817.8644409116,23910.86,37.632183,10.4531555,47,1.3861545872350516E7,237574.66,58.34606,6.8933663,1.5633041,0,0,0,0,0,3.5597892,2.203496,1.3562932,-51.97584,0.54210037,1,26,4,22,590.5342,23.788235,0.0,912.1548,9.196045,4500,1.0,-0.5,111,21.005867,3.867013,21,6.279781,0.040295135,21,,VARIABLE,108.42561541779371,0.8937935802011527,23.838379874570172,58.895447090392935,false,false,0,true,true,false,true,false,false,true,false,1.0202233E-13,5.0959643E-13,1.0,,,,,,,,,,,,,,,,,,,,,,,IRC +60370,342.4956939,60.29907047351001,0.3632,-3.031,-1.933,-52.36,2000,2.578563825097408E-9,,0.4,0.025
1636148068921376768,Gaia DR3 163184366130809984,163184366130809984,451095914,2016,63.55389179678554,0.11645195,28.203309550696616,0.06868417,8.326130351269814,0.13126956,63.42773,28.551239,6.540278954972209,0.162786,-27.79204991,0.110348694,0.3310416,-0.021206932,-0.12619974,-0.038847603,-0.018256603,-0.10040741,0.28038433,0.23406248,-0.013452745,0.13354714,398,398,398,0,119.47632,42598.656,1.0556599,1481.3479,31,false,1.3756038,,,,,,,,45,18,0.22850668,49,11,1,0.010543168,167.89934,0,0,7.526265,,,,,,,,,false,400,1892578.1923905576,3212.0435,589.21313,9.994732,44,621599.8552816376,3316.2603,187.44,10.854765,44,1868350.406485272,9087.976,205.58488,9.06925,1.3156393,0,0,0,0,0,1.7855148,0.86003304,0.9254818,-4.3965874,3.986715,1,19,9,10,149.63074,28.537136,0.0,919.9048,57.218872,4500,3.5,-0.25,222,,,,8.660752,0.013375898,6,,VARIABLE,168.2168900142139,-16.34002502,66.71373338321126,6.876871834,false,false,0,false,false,false,true,false,false,true,false,1.02453114E-13,5.1174814E-13,0.9999574,,,,,,,,,,,,,,,,,,,,,,,HD 283447,63.55385881,28.203433070879996,8.3261,6.54,-27.792,16.0,2000,1.3999865517025434E-9,,7.692,0.085
